feature,mi_score,type
E19/V7,0.010493717186349949,interaction
V4,0.010472784276258196,original
E19/V13,0.010440565887165798,interaction
S12,0.01013228090122098,original
M_skew_proxy,0.010087993073971013,category_stat
V_min,0.009966295254196567,category_stat
E2/E20,0.009955488096270892,interaction
E19/P5,0.0099112471135272,interaction
S8/V9,0.009842113673335984,interaction
E19/E20,0.008717870438652797,interaction
E3/E20,0.008238380856768757,interaction
P13,0.0075733160086812745,original
week_sin,0.006777643059105998,datetime
E4,0.00669451257309106,original
day_cos,0.006130162824227625,datetime
E7,0.00596496598401286,original
day_sin,0.005305217330506373,datetime
D6,0.003237414928361826,original
D9,0.0028734058156305586,original
D4,0.0025575844681853255,original
D7,0.0019344671305883132,original
S6,0.001271635949187555,original
week_cos,0.0010504240590005764,datetime
D3,0.00026962493074211835,original
V13/E20,9.740989016893131e-05,interaction
P5/E20,8.983923360306179e-05,interaction
V13/P5,0.0,interaction
D2,0.0,original
V7/P5,0.0,interaction
D8,0.0,original
D5,0.0,original
month_cos,0.0,datetime
month_sin,0.0,datetime
V7/E20,0.0,interaction
D1,0.0,original
