number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
122,0.943494581855641,2025-10-18 20:24:00.648523,2025-10-18 20:24:02.012083,0 days 00:00:01.363560,0.6,0.02603142037167395,7,1,200,0.0,0.7000000000000001,1.0,COMPLETE
123,0.9079651076980584,2025-10-18 20:24:02.012523,2025-10-18 20:24:03.744130,0 days 00:00:01.731607,0.6,0.02516795892999775,7,1,250,0.0,0.7000000000000001,1.0,COMPLETE
124,0.8621459108979274,2025-10-18 20:24:03.744612,2025-10-18 20:24:05.250347,0 days 00:00:01.505735,0.6,0.02981941633675302,7,1,250,0.0,0.7000000000000001,1.0,COMPLETE
125,0.5390609763176751,2025-10-18 20:24:05.250799,2025-10-18 20:24:05.858664,0 days 00:00:00.607865,0.6,0.0257666138383056,7,1,250,0.6000000000000001,0.8,1.0,COMPLETE
126,0.8066025201034636,2025-10-18 20:24:05.859110,2025-10-18 20:24:07.078766,0 days 00:00:01.219656,0.6,0.02782906151401837,7,1,200,0.0,0.7000000000000001,1.0,COMPLETE
127,0.9016607345566249,2025-10-18 20:24:07.079190,2025-10-18 20:24:08.391489,0 days 00:00:01.312299,0.6,0.03155191614820532,7,1,250,0.1,0.8,1.0,COMPLETE
128,0.9535841534785717,2025-10-18 20:24:08.391957,2025-10-18 20:24:09.666669,0 days 00:00:01.274712,0.6,0.0329908659707795,7,1,200,0.0,0.7000000000000001,1.0,COMPLETE
129,0.6662139886985473,2025-10-18 20:24:09.667107,2025-10-18 20:24:10.242956,0 days 00:00:00.575849,0.6,0.03327494267504168,7,1,200,0.4,0.7000000000000001,1.0,COMPLETE
130,0.9373386031070469,2025-10-18 20:24:10.243371,2025-10-18 20:24:11.492680,0 days 00:00:01.249309,0.6,0.036510578751043486,7,1,200,0.0,0.8,1.0,COMPLETE
131,0.9079359130971723,2025-10-18 20:24:11.493149,2025-10-18 20:24:12.767329,0 days 00:00:01.274180,0.6,0.03805300979924752,7,1,200,0.0,0.8,1.0,COMPLETE
132,0.9034218458071813,2025-10-18 20:24:12.767850,2025-10-18 20:24:14.116706,0 days 00:00:01.348856,0.6,0.029149226460926828,7,1,200,0.0,0.7000000000000001,1.0,COMPLETE
133,0.8886398102577292,2025-10-18 20:24:14.117119,2025-10-18 20:24:15.369334,0 days 00:00:01.252215,0.6,0.03471082179863445,7,1,200,0.0,0.8,1.0,COMPLETE
134,0.9128011351182596,2025-10-18 20:24:15.369745,2025-10-18 20:24:17.000239,0 days 00:00:01.630494,0.6,0.02615917808833907,7,1,250,0.0,0.7000000000000001,1.0,COMPLETE
135,0.8540953856567755,2025-10-18 20:24:17.000650,2025-10-18 20:24:18.230370,0 days 00:00:01.229720,0.6,0.036347371257051474,7,1,200,0.0,0.7000000000000001,1.0,COMPLETE
136,0.7837076727727078,2025-10-18 20:24:18.230807,2025-10-18 20:24:19.401142,0 days 00:00:01.170335,0.6,0.006322945059382565,7,1,200,0.1,0.8,1.0,COMPLETE
137,0.9469457402398952,2025-10-18 20:24:19.401570,2025-10-18 20:24:20.886301,0 days 00:00:01.484731,0.6,0.02702762352042223,8,1,200,0.0,0.7000000000000001,1.0,COMPLETE
138,0.4921690028699441,2025-10-18 20:24:20.886743,2025-10-18 20:24:21.340271,0 days 00:00:00.453528,0.6,0.02635583704271893,8,2,200,0.8,0.7000000000000001,1.0,COMPLETE
139,0.9081206976142958,2025-10-18 20:24:21.340719,2025-10-18 20:24:23.236995,0 days 00:00:01.896276,0.6,0.02364957155433724,8,1,250,0.0,0.7000000000000001,1.0,COMPLETE
140,0.8296989587098458,2025-10-18 20:24:23.237516,2025-10-18 20:24:24.705381,0 days 00:00:01.467865,0.6,0.05026103281176073,8,1,200,0.0,0.7000000000000001,1.0,COMPLETE
