feature,shap_importance,perm_importance_mean,xgb_gain,shap_importance_norm,perm_importance_mean_norm,xgb_gain_norm,avg_rank
M2_ema_5,1.0131546e-06,0.00014620251128659721,0.00281090778298676,0.010832204,0.008839714040007801,0.49638600851566045,0.17201930870259838
E11_vol_norm_5,1.1418683e-05,0.001356511855332232,0.0017604382010176778,0.122083545,0.08201758497507167,0.310880668917971,0.17166059954139426
V7_trend,5.1086813e-06,0.0010980459768581198,0.002226520562544465,0.054619774,0.06639018955823241,0.3931874469909266,0.17139913692384434
S5_rolling_mean_60,1.1119606e-05,0.0014544117043336692,0.0017401216318830848,0.11888594,0.08793681756633825,0.3072929095754225,0.17137188964840536
M4_lag40,1.1236919e-05,0.001593027151112747,0.001675397390499711,0.1201402,0.0963178015882406,0.29586307611416296,0.1707736933486225
E7_lag1,4.7525498e-07,0.00012394517679770178,0.002824605442583561,0.0050812173,0.007493988371937999,0.4988049162487478,0.17046004063034345
M17_rolling_std_5,5.9846334e-06,0.0006151453320218048,0.0023187091574072838,0.06398507,0.037192991968920425,0.40946728687453815,0.17021511697325975
D8_vol_5,4.964981e-07,7.658146149396306e-05,0.002825395204126835,0.0053083394,0.004630277649919961,0.4989443824320633,0.1696276664847535
M2_vol_norm_60,2.59409e-06,0.0003933570611191595,0.002557347295805812,0.02773487,0.02378320252717849,0.45160905819703445,0.16770904360509786
V7_return_5d,8.221388e-06,0.001379124352828276,0.0018788045272231102,0.08789947,0.08338478455212671,0.331783307049111,0.16768918681346875
D8_ema_5,6.2284753e-06,0.000759083973322694,0.0022099274210631847,0.06659212,0.045895827626188365,0.39025721807396213,0.16758172177810063
M4_return_20d,8.459798e-06,0.0018573367862777857,0.0016975568141788244,0.09044844,0.11229852293370164,0.29977627025651743,0.16750774410382183
M4_lag5,9.553988e-06,0.0018880759350699884,0.001616594847291708,0.10214704,0.11415707709098055,0.28547897177240633,0.16726103053823305
E19_lag20,1.0354126e-05,0.0013734949510418426,0.0017275325953960419,0.11070177,0.0830444189758417,0.30506977667484003,0.1662719884136865
E19_ema_20,2.273514e-06,0.0003288015505700126,0.002571229124441743,0.024307411,0.019880039387644384,0.4540604888519976,0.16608264646789578
V7_rolling_mean_60,2.4756953e-06,0.00017038006134342253,0.002607374917715788,0.026469046,0.010301540015564095,0.4604435748274723,0.16573805369767403
